CountryISO,CountryName,Admin1ISO,Admin1Name,Admin2Name,CityName
US,UNITED STATES OF AMERICA,US-IA,IOWA,MUSCATINE COUNTY,MUSCATINE
US,UNITED STATES OF AMERICA,US-IA,IOWA,POLK COUNTY,DES MOINES
US,UNITED STATES OF AMERICA,US-IA,IOWA,POTTAWATTAMIE COUNTY,COUNCIL BLUFFS
US,UNITED STATES OF AMERICA,US-IA,IOWA,SCOTT COUNTY,DAVENPORT
US,UNITED STATES OF AMERICA,US-IA,IOWA,WAPELLO COUNTY,OTTUMWA
US,UNITED STATES OF AMERICA,US-IA,IOWA,WEBSTER COUNTY,FORT DODGE
US,UNITED STATES OF AMERICA,US-IA,IOWA,WOODBURY COUNTY,SIOUX CITY
US,UNITED STATES OF AMERICA,US-ID,IDAHO,ADA COUNTY,BOISE
US,UNITED STATES OF AMERICA,US-ID,IDAHO,BANNOCK COUNTY,POCATELLO
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,ADAMS COUNTY,QUINCY
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,ALEXANDER COUNTY,CAIRO
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,CHAMPAIGN COUNTY,CHAMPAIGN
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,CHAMPAIGN COUNTY,URBANA
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,COLES COUNTY,MATTOON
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,COOK COUNTY,BERWYN
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,COOK COUNTY,BLUE ISLAND
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,COOK COUNTY,CHICAGO
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,COOK COUNTY,CHICAGO HEIGHTS
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,COOK COUNTY,CICERO
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,COOK COUNTY,EVANSTON
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,COOK COUNTY,OAK PARK
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,FULTON COUNTY,CANTON
US,UNITED STATES OF AMERICA,US-IL,ILLINOIS,HENRY COUNTY,CLEVELAND
